iter	Passed	Remaining
864	26500	4135
865	26527	4104
866	26557	4073
867	26589	4043
868	26621	4013
869	26649	3982
870	26681	3951
871	26710	3920
872	26739	3889
873	26768	3859
874	26796	3828
875	26826	3797
876	26857	3766
877	26887	3736
878	26916	3705
879	26947	3674
880	26977	3643
881	27007	3613
882	27037	3582
883	27064	3551
884	27095	3520
885	27123	3489
886	27151	3459
887	27181	3428
888	27211	3397
889	27240	3366
890	27268	3335
891	27299	3305
892	27331	3274
893	27360	3244
894	27388	3213
895	27417	3182
896	27448	3151
897	27477	3121
898	27505	3090
899	27534	3059
900	27562	3028
901	27592	2997
902	27620	2966
903	27650	2936
904	27681	2905
905	27710	2875
906	27740	2844
907	27768	2813
908	27796	2782
909	27826	2752
910	27854	2721
911	27881	2690
912	27910	2659
913	27939	2628
914	27968	2598
915	27997	2567
916	28027	2536
917	28065	2506
918	28100	2476
919	28131	2446
920	28163	2415
921	28200	2385
922	28234	2355
923	28277	2325
924	28309	2295
925	28344	2265
926	28378	2234
927	28410	2204
928	28456	2174
929	28486	2144
930	28513	2113
931	28545	2082
932	28575	2052
933	28604	2021
934	28633	1990
935	28663	1959
936	28701	1929
937	28730	1899
938	28758	1868
939	28788	1837
940	28822	1807
941	28851	1776
942	28879	1745
943	28906	1714
944	28942	1684
945	28972	1653
946	29000	1623
947	29028	1592
948	29059	1561
949	29087	1530
950	29115	1500
951	29145	1469
952	29174	1438
953	29204	1408
954	29235	1377
955	29264	1346
956	29293	1316
957	29325	1285
958	29353	1254
959	29380	1224
960	29408	1193
961	29439	1162
962	29471	1132
963	29500	1101
964	29530	1071
965	29562	1040
966	29593	1009
967	29623	979
968	29655	948
969	29688	918
970	29717	887
971	29746	856
972	29777	826
973	29811	795
974	29839	765
975	29867	734
976	29898	703
977	29930	673
978	29961	642
979	29992	612
980	30023	581
981	30054	550
982	30083	520
983	30114	489
984	30146	459
985	30175	428
986	30204	397
987	30235	367
988	30266	336
989	30296	306
990	30327	275
991	30361	244
992	30393	214
993	30424	183
994	30456	153
995	30487	122
996	30520	91
997	30550	61
998	30584	30
999	30615	0
